Station Index,IP,IPGW
390,10.140.25.16,10.140.25.17
378,10.136.25.48,10.136.25.49
379,10.136.33.48,10.136.33.49
380,10.136.41.16,10.136.41.49
381,10.136.49.16,10.136.49.17
382,10.136.57.16,10.136.57.17
383,10.136.65.48,10.136.65.49
384,10.136.73.16,10.136.73.17
385,10.136.81.32,10.136.81.33
386,10.136.89.16,10.136.89.17
387,10.136.97.16,10.136.97.17
388,10.136.105.16,10.136.105.17
389,10.136.113.48,10.136.113.49
391,10.204.17.0,10.204.17.1
